sentence_index,sink_score,sentence_length,length_group,rank,hit@1,hit@5,hit@10,sim_pos,sim_neg_top1,sim_margin
0,0.7723480463027954,9,Medium (9-11),22,0,0,0,24.198635,26.664902,-2.4662666
1,0.856090247631073,7,Short (<=8),1,1,1,1,33.216743,26.818144,6.3985996
2,0.7253620028495789,11,Medium (9-11),1,1,1,1,36.04228,29.663498,6.3787804
3,0.7253624796867371,9,Medium (9-11),4,0,1,1,27.736109,29.506075,-1.7699661
4,0.8872169256210327,11,Medium (9-11),1,1,1,1,28.43017,27.894243,0.5359268
5,0.8459670543670654,10,Medium (9-11),1,1,1,1,30.61452,30.00493,0.6095886
6,0.6117652654647827,9,Medium (9-11),1,1,1,1,27.148209,26.273918,0.87429047
7,0.7281938791275024,9,Medium (9-11),2,0,1,1,27.884066,28.723156,-0.83909035
8,0.7620497345924377,12,Long (12-14),12,0,0,0,24.773836,29.096163,-4.3223267
9,0.7446597814559937,12,Long (12-14),2,0,1,1,27.872927,29.119366,-1.246439
10,0.814248263835907,11,Medium (9-11),1,1,1,1,28.997158,28.960651,0.036506653
11,0.8514140844345093,6,Short (<=8),45,0,0,0,24.644903,26.509708,-1.8648052
12,0.7432028651237488,10,Medium (9-11),5,0,1,1,27.1142,27.649366,-0.5351658
13,0.7928282022476196,6,Short (<=8),2,0,1,1,28.6048,28.831451,-0.22665215
14,0.5737552642822266,20,Very Long (>14),1,1,1,1,31.339735,24.855782,6.4839535
15,0.7931807041168213,18,Very Long (>14),12,0,0,0,26.068289,28.506767,-2.4384785
16,0.8213763236999512,11,Medium (9-11),4,0,1,1,27.35993,28.347534,-0.98760414
17,0.5694361925125122,14,Long (12-14),4,0,1,1,22.394354,26.503807,-4.109453
18,0.7165132761001587,14,Long (12-14),9,0,0,1,24.731136,27.405909,-2.6747723
19,0.8076851963996887,7,Short (<=8),10,0,0,1,27.731758,29.512247,-1.780489
20,0.7075414657592773,9,Medium (9-11),477,0,0,0,21.793467,26.632542,-4.839075
21,0.6279069185256958,19,Very Long (>14),2,0,1,1,26.34499,27.347336,-1.002346
22,0.7938863635063171,7,Short (<=8),2,0,1,1,30.218018,30.757416,-0.5393982
23,0.7857405543327332,7,Short (<=8),3,0,1,1,28.513714,29.020134,-0.50642014
24,0.6288907527923584,11,Medium (9-11),2,0,1,1,30.158508,30.719494,-0.56098557
25,0.8837794661521912,7,Short (<=8),24,0,0,0,25.957027,27.408672,-1.4516449
26,0.7553333044052124,9,Medium (9-11),7,0,0,1,28.817171,30.731096,-1.9139252
27,0.9021462798118591,8,Short (<=8),9,0,0,1,26.842388,30.018707,-3.1763191
28,0.6951789855957031,13,Long (12-14),1,1,1,1,30.345785,27.363487,2.982298
29,0.6875949501991272,12,Long (12-14),1,1,1,1,29.412884,28.173521,1.2393627
30,0.7929839491844177,9,Medium (9-11),1,1,1,1,26.602793,26.069906,0.5328865
31,0.8439731597900391,11,Medium (9-11),12,0,0,0,25.96367,28.790321,-2.8266506
32,0.6719809174537659,14,Long (12-14),2,0,1,1,28.6468,28.993841,-0.34704208
33,0.7973018288612366,15,Very Long (>14),3,0,1,1,26.983011,28.770563,-1.7875519
34,0.8034206032752991,8,Short (<=8),4,0,1,1,28.94453,30.274698,-1.3301678
35,0.8888389468193054,12,Long (12-14),33,0,0,0,24.258799,28.319328,-4.0605297
36,0.8833093643188477,10,Medium (9-11),3,0,1,1,27.134863,27.354198,-0.21933556
37,0.6556617021560669,22,Very Long (>14),1,1,1,1,29.126423,28.843,0.28342247
38,0.6415588855743408,14,Long (12-14),2,0,1,1,27.746403,28.123253,-0.37685013
39,0.7543100118637085,12,Long (12-14),134,0,0,0,21.37585,30.173784,-8.797934
40,0.632729709148407,7,Short (<=8),3,0,1,1,30.949848,31.088234,-0.13838577
41,0.8111529350280762,7,Short (<=8),1,1,1,1,28.888702,28.134811,0.753891
42,0.6510686278343201,13,Long (12-14),4,0,1,1,26.059473,28.086948,-2.0274754
43,0.6086706519126892,12,Long (12-14),1,1,1,1,29.557878,29.320986,0.2368927
44,0.6066242456436157,12,Long (12-14),1,1,1,1,30.43607,29.133308,1.3027611
45,0.7459228038787842,10,Medium (9-11),14,0,0,0,23.717737,27.657314,-3.939577
46,0.7529012560844421,11,Medium (9-11),25,0,0,0,23.130503,27.133041,-4.0025387
47,0.8066055774688721,12,Long (12-14),1,1,1,1,30.541044,29.831976,0.7090683
48,0.7540208697319031,13,Long (12-14),1,1,1,1,35.234695,32.238274,2.9964218
