sentence_index,sink_score,sentence_length,length_group,rank,hit@1,hit@5,hit@10,sim_pos,sim_neg_top1,sim_margin
0,0.7618095874786377,9,Medium (9-11),30,0,0,0,24.02242,26.861984,-2.8395634
1,0.8556542992591858,7,Short (<=8),1,1,1,1,33.473526,26.970827,6.502699
2,0.7173076868057251,11,Medium (9-11),1,1,1,1,37.115173,28.560595,8.554579
3,0.7387097477912903,9,Medium (9-11),6,0,0,1,27.154537,29.158665,-2.0041275
4,0.8904048204421997,11,Medium (9-11),1,1,1,1,29.056007,28.258959,0.79704857
5,0.8463339805603027,10,Medium (9-11),1,1,1,1,30.078947,29.44693,0.63201714
6,0.629233717918396,9,Medium (9-11),1,1,1,1,26.889315,26.314045,0.5752697
7,0.7248081564903259,9,Medium (9-11),2,0,1,1,27.525229,28.538544,-1.0133152
8,0.7405094504356384,12,Long (12-14),11,0,0,0,25.17099,28.286472,-3.1154823
9,0.7332317233085632,12,Long (12-14),2,0,1,1,28.39598,29.129446,-0.7334652
10,0.7921450734138489,11,Medium (9-11),1,1,1,1,29.61784,29.056263,0.56157684
11,0.8315607309341431,6,Short (<=8),47,0,0,0,24.789406,26.830685,-2.0412788
12,0.7438210248947144,10,Medium (9-11),15,0,0,0,26.102283,27.684462,-1.5821781
13,0.7874055504798889,6,Short (<=8),1,1,1,1,28.558796,28.526731,0.032064438
14,0.5651670694351196,20,Very Long (>14),1,1,1,1,30.161753,24.387589,5.774164
15,0.8210887312889099,18,Very Long (>14),14,0,0,0,25.717384,29.1144,-3.3970165
16,0.7890665531158447,11,Medium (9-11),6,0,0,1,27.14599,28.938276,-1.7922859
17,0.5617954730987549,14,Long (12-14),4,0,1,1,23.392511,26.106613,-2.7141018
18,0.7181428074836731,14,Long (12-14),7,0,0,1,25.085726,27.896088,-2.8103619
19,0.8177536129951477,7,Short (<=8),13,0,0,0,27.550503,29.392117,-1.8416138
20,0.7141118049621582,9,Medium (9-11),333,0,0,0,22.23642,26.513165,-4.276745
21,0.6119653582572937,19,Very Long (>14),2,0,1,1,25.998936,27.273857,-1.2749214
22,0.7809508442878723,7,Short (<=8),2,0,1,1,29.972279,30.675728,-0.70344925
23,0.7899826169013977,7,Short (<=8),5,0,1,1,28.348658,29.330093,-0.9814358
24,0.6104158163070679,11,Medium (9-11),1,1,1,1,31.481478,30.432701,1.0487766
25,0.8643380999565125,7,Short (<=8),36,0,0,0,25.94918,27.342855,-1.3936749
26,0.7609068751335144,9,Medium (9-11),7,0,0,1,28.825422,30.950468,-2.1250458
27,0.8989238142967224,8,Short (<=8),13,0,0,0,26.335747,29.957222,-3.6214752
28,0.6886022090911865,13,Long (12-14),1,1,1,1,30.136963,27.8328,2.304163
29,0.700776994228363,12,Long (12-14),1,1,1,1,28.566242,28.533606,0.032636642
30,0.8007695078849792,9,Medium (9-11),1,1,1,1,27.413067,26.14053,1.2725372
31,0.8552265167236328,11,Medium (9-11),11,0,0,0,26.025236,28.388544,-2.363308
32,0.6753984689712524,14,Long (12-14),1,1,1,1,28.595621,27.845907,0.7497139
33,0.7951677441596985,15,Very Long (>14),6,0,0,1,26.424992,28.558773,-2.1337814
34,0.7912673950195312,8,Short (<=8),4,0,1,1,29.503424,31.408781,-1.9053574
35,0.8904626965522766,12,Long (12-14),33,0,0,0,24.439337,28.187922,-3.7485847
36,0.8817587494850159,10,Medium (9-11),6,0,0,1,26.78566,27.51646,-0.7308006
37,0.648348867893219,22,Very Long (>14),1,1,1,1,29.861069,28.973633,0.8874359
38,0.6406209468841553,14,Long (12-14),1,1,1,1,27.89062,27.284628,0.60599136
39,0.7335436344146729,12,Long (12-14),180,0,0,0,20.621502,29.861605,-9.240103
40,0.6396147608757019,7,Short (<=8),1,1,1,1,30.957396,30.79531,0.16208649
41,0.8086749911308289,7,Short (<=8),1,1,1,1,28.515244,28.320208,0.19503593
42,0.6638597846031189,13,Long (12-14),2,0,1,1,27.576632,28.10885,-0.53221893
43,0.6061670780181885,12,Long (12-14),1,1,1,1,29.095247,28.732592,0.36265564
44,0.6133960485458374,12,Long (12-14),1,1,1,1,29.818466,29.083303,0.73516273
45,0.7401177883148193,10,Medium (9-11),15,0,0,0,23.531141,27.112902,-3.5817604
46,0.7559560537338257,11,Medium (9-11),31,0,0,0,22.570919,26.867018,-4.2960987
47,0.8035087585449219,12,Long (12-14),2,0,1,1,31.104671,31.306562,-0.20189095
48,0.7521917223930359,13,Long (12-14),1,1,1,1,35.439198,32.520493,2.918705
49,0.6498194932937622,15,Very Long (>14),9,0,0,1,26.22048,29.146492,-2.926012
50,0.6653214693069458,11,Medium (9-11),109,0,0,0,20.96113,27.32937,-6.3682404
51,0.5714603066444397,16,Very Long (>14),11,0,0,0,24.967066,29.328611,-4.3615456
52,0.9109581112861633,6,Short (<=8),5,0,1,1,25.665451,28.579372,-2.9139214
53,0.9045965671539307,7,Short (<=8),9,0,0,1,26.18016,26.98485,-0.8046894
54,0.8422816395759583,9,Medium (9-11),1,1,1,1,34.370293,31.4996,2.8706932
55,0.8167802095413208,10,Medium (9-11),1,1,1,1,29.575205,27.769003,1.8062019
56,0.9179509282112122,6,Short (<=8),6,0,0,1,26.734873,27.562365,-0.82749176
57,0.635191023349762,15,Very Long (>14),1,1,1,1,30.52746,29.27534,1.252121
58,0.8427331447601318,12,Long (12-14),1,1,1,1,29.59584,29.09084,0.50500107
59,0.6763036847114563,17,Very Long (>14),1,1,1,1,32.629448,26.764492,5.864956
60,0.772228479385376,7,Short (<=8),6,0,0,1,27.617321,28.272606,-0.6552849
61,0.8066946268081665,8,Short (<=8),1,1,1,1,28.113451,26.727053,1.3863983
62,0.823986828327179,11,Medium (9-11),1,1,1,1,28.597876,28.458313,0.1395626
63,0.7065436244010925,15,Very Long (>14),1,1,1,1,34.172153,30.665806,3.5063477
64,0.6516569256782532,6,Short (<=8),1,1,1,1,30.746841,26.352076,4.394766
65,0.6968759894371033,12,Long (12-14),1,1,1,1,28.662342,27.497238,1.1651039
66,0.7809092402458191,11,Medium (9-11),5,0,1,1,27.676504,29.544697,-1.8681927
67,0.8884838223457336,6,Short (<=8),63,0,0,0,24.124378,26.600487,-2.4761086
68,0.8119235038757324,11,Medium (9-11),2,0,1,1,27.753288,27.856525,-0.10323715
69,0.8950104713439941,6,Short (<=8),36,0,0,0,23.640743,27.973753,-4.3330097
70,0.8781012296676636,8,Short (<=8),2,0,1,1,26.039675,26.878666,-0.83899117
71,0.7796667814254761,8,Short (<=8),2,0,1,1,27.935535,28.940987,-1.0054512
72,0.7617762088775635,13,Long (12-14),1,1,1,1,32.593613,29.289173,3.3044395
73,0.8217636346817017,9,Medium (9-11),74,0,0,0,22.448322,28.04992,-5.601597
74,0.7214608788490295,15,Very Long (>14),1,1,1,1,30.169323,26.584648,3.5846748
75,0.8619614243507385,9,Medium (9-11),1,1,1,1,30.686897,29.703802,0.98309517
76,0.8158448934555054,14,Long (12-14),6,0,0,1,25.83518,30.267673,-4.432493
77,0.5809794068336487,15,Very Long (>14),1,1,1,1,30.800098,25.161112,5.6389866
78,0.7908229827880859,11,Medium (9-11),1,1,1,1,30.010727,29.385937,0.6247902
79,0.570496141910553,20,Very Long (>14),1,1,1,1,31.61868,28.87329,2.74539
80,0.7758049964904785,13,Long (12-14),1,1,1,1,29.54546,27.256212,2.2892475
81,0.8547660708427429,8,Short (<=8),14,0,0,0,26.039154,28.647572,-2.6084175
82,0.7655405402183533,19,Very Long (>14),2,0,1,1,28.394741,28.572786,-0.17804527
83,0.6263845562934875,19,Very Long (>14),1,1,1,1,30.680864,29.019833,1.6610317
84,0.6644188761711121,17,Very Long (>14),302,0,0,0,17.683489,26.334364,-8.650875
85,0.7923339605331421,8,Short (<=8),1,1,1,1,32.61832,32.31514,0.3031807
86,0.8260802626609802,14,Long (12-14),22,0,0,0,26.11119,27.964342,-1.8531513
87,0.901295006275177,6,Short (<=8),15,0,0,0,27.039055,28.79641,-1.7573547
88,0.7953717708587646,10,Medium (9-11),3,0,1,1,27.310013,28.314653,-1.0046406
89,0.8636037111282349,8,Short (<=8),1,1,1,1,29.426311,28.971497,0.4548149
90,0.7707751989364624,16,Very Long (>14),5,0,1,1,29.25698,32.069534,-2.8125534
91,0.6459905505180359,17,Very Long (>14),8,0,0,1,26.59828,27.653027,-1.0547466
92,0.798190712928772,8,Short (<=8),56,0,0,0,23.812584,29.213121,-5.4005375
93,0.6388483643531799,12,Long (12-14),18,0,0,0,24.827095,30.198341,-5.3712463
94,0.5097294449806213,24,Very Long (>14),1,1,1,1,29.70279,28.417557,1.2852325
95,0.7465627789497375,6,Short (<=8),6,0,0,1,26.305141,28.713161,-2.40802
96,0.8631511926651001,9,Medium (9-11),66,0,0,0,24.186615,26.710695,-2.5240803
97,0.8103283047676086,11,Medium (9-11),2,0,1,1,31.72678,32.85369,-1.1269112
98,0.8361610770225525,8,Short (<=8),1,1,1,1,33.064896,32.284634,0.780262
99,0.716498613357544,12,Long (12-14),7,0,0,1,25.227127,30.58558,-5.3584538
100,0.7348356246948242,19,Very Long (>14),1,1,1,1,28.267118,26.815086,1.4520321
101,0.8183915019035339,15,Very Long (>14),11,0,0,0,26.76131,28.370571,-1.6092606
102,0.8325535655021667,10,Medium (9-11),3,0,1,1,28.221405,28.67962,-0.4582157
103,0.8628655076026917,10,Medium (9-11),1,1,1,1,28.802973,28.066462,0.73651123
104,0.8334994912147522,12,Long (12-14),2,0,1,1,27.407223,27.508205,-0.100982666
105,0.6520871520042419,13,Long (12-14),1,1,1,1,30.751509,29.973757,0.7777519
106,0.6551845073699951,17,Very Long (>14),5,0,1,1,24.387915,28.259377,-3.8714619
107,0.7705948352813721,12,Long (12-14),10,0,0,1,23.890297,26.777756,-2.8874588
108,0.7563132643699646,13,Long (12-14),43,0,0,0,21.395382,28.678036,-7.282654
109,0.6215772032737732,13,Long (12-14),1,1,1,1,27.179146,26.480793,0.6983528
110,0.6434076428413391,16,Very Long (>14),1,1,1,1,31.447367,27.29327,4.1540966
111,0.8609659671783447,10,Medium (9-11),11,0,0,0,24.991362,26.115263,-1.1239014
112,0.8053473234176636,11,Medium (9-11),6,0,0,1,27.369091,28.01392,-0.6448288
113,0.8199097514152527,6,Short (<=8),5,0,1,1,26.50935,28.073315,-1.5639648
114,0.7291224598884583,11,Medium (9-11),1,1,1,1,33.851616,28.953638,4.897978
115,0.845791220664978,9,Medium (9-11),1,1,1,1,28.963089,26.6167,2.3463898
116,0.8477970361709595,11,Medium (9-11),4,0,1,1,27.02505,28.125212,-1.1001625
117,0.82063889503479,9,Medium (9-11),2,0,1,1,29.390388,31.716732,-2.3263435
118,0.7138498425483704,11,Medium (9-11),16,0,0,0,26.130291,29.457918,-3.3276272
119,0.7187084555625916,13,Long (12-14),1,1,1,1,31.52814,27.93264,3.595499
120,0.861260712146759,5,Short (<=8),1,1,1,1,29.856485,28.695,1.1614857
121,0.8119781017303467,9,Medium (9-11),1,1,1,1,28.868305,27.68505,1.1832561
122,0.6510367393493652,15,Very Long (>14),2,0,1,1,28.770817,29.921936,-1.1511192
123,0.8589603304862976,7,Short (<=8),3,0,1,1,27.520401,28.72031,-1.1999092
124,0.8117960691452026,14,Long (12-14),1,1,1,1,28.975292,28.512848,0.4624443
125,0.6907612085342407,15,Very Long (>14),1,1,1,1,33.920902,29.794138,4.1267643
126,0.5741004943847656,10,Medium (9-11),4,0,1,1,25.272715,27.207273,-1.9345589
127,0.8339939117431641,11,Medium (9-11),27,0,0,0,22.061808,29.51448,-7.452673
128,0.6493433713912964,18,Very Long (>14),1,1,1,1,31.895042,30.381567,1.5134754
129,0.7341655492782593,14,Long (12-14),2,0,1,1,28.732883,30.641544,-1.9086609
130,0.6036751866340637,15,Very Long (>14),1,1,1,1,32.96422,30.85393,2.1102886
131,0.7258123159408569,8,Short (<=8),1,1,1,1,28.133873,26.865746,1.2681274
132,0.8823151588439941,7,Short (<=8),26,0,0,0,25.5254,27.686987,-2.1615868
