sink_q_in_group,R1,R5,R10,rank,margin,n,length_group
Q1(low),0.46875,0.71875,0.859375,6.09375,0.32128564,64,Short (<=8)
Q2,0.34375,0.65625,0.734375,20.234375,-0.9120351,64,Short (<=8)
Q3,0.265625,0.640625,0.75,22.203125,-0.80020714,64,Short (<=8)
Q4(high),0.15625,0.34375,0.5625,43.1875,-1.5848688,64,Short (<=8)
Q1(low),0.4875,0.8,0.8375,17.2125,0.25894904,80,Medium (9-11)
Q2,0.46835443037974683,0.620253164556962,0.759493670886076,13.69620253164557,-0.16739725,79,Medium (9-11)
Q3,0.3291139240506329,0.620253164556962,0.7088607594936709,16.341772151898734,-1.15219,79,Medium (9-11)
Q4(high),0.34177215189873417,0.5569620253164557,0.6835443037974683,17.443037974683545,-0.9670957,79,Medium (9-11)
Q1(low),0.75,0.9464285714285714,0.9642857142857143,2.767857142857143,1.8602287,56,Long (12-14)
Q2,0.5357142857142857,0.875,0.9107142857142857,6.857142857142857,0.17027704,56,Long (12-14)
Q3,0.42857142857142855,0.6964285714285714,0.8392857142857143,23.446428571428573,-0.5921048,56,Long (12-14)
Q4(high),0.4107142857142857,0.6428571428571429,0.8571428571428571,8.267857142857142,-0.23160195,56,Long (12-14)
Q1(low),0.6862745098039216,0.8823529411764706,0.9411764705882353,2.784313725490196,2.2211635,51,Very Long (>14)
Q2,0.7254901960784313,0.8431372549019608,0.9411764705882353,3.0784313725490198,1.8174851,51,Very Long (>14)
Q3,0.62,0.9,0.92,9.26,0.97871816,50,Very Long (>14)
Q4(high),0.4117647058823529,0.7647058823529411,0.9019607843137255,6.666666666666667,-0.22138745,51,Very Long (>14)
